DATE,IMPGS
1974-10-01,37.883
1975-01-01,14.573
1975-04-01,-14.137
1975-07-01,-11.555
1975-10-01,-7.822
1976-01-01,14.050
1976-04-01,31.871
1976-07-01,33.793
1976-10-01,33.95
1977-01-01,37.495
1977-04-01,35.926
1977-07-01,27.056
1977-10-01,24.711
1978-01-01,26.849
1978-04-01,25.798
1978-07-01,32.158
1978-10-01,34.424
1979-01-01,26.546
1979-04-01,34.257
1979-07-01,42.244
1979-10-01,58.651
1980-01-01,74.483
1980-04-01,49.503
1980-07-01,21.896
1980-10-01,18.734
1981-01-01,15.415
1981-04-01,29.363
1981-07-01,30.698
1981-10-01,20.245
1982-01-01,-10.248
1982-04-01,-22.848
1982-07-01,-0.618
1982-10-01,-24.584
1983-01-01,-14.227
1983-04-01,18.834
1983-07-01,34.099
1983-10-01,63.111
1984-01-01,92.727
1984-04-01,88.552
1984-07-01,66.210
1984-10-01,58.387
1985-01-01,9.330
1985-04-01,12.070
1985-07-01,4.577
1985-10-01,22.508
1986-01-01,42.110
1986-04-01,25.419
1986-07-01,45.264
1986-10-01,29.761
1987-01-01,38.267
1987-04-01,58.347
1987-07-01,57.886
1987-10-01,68.883
1988-01-01,65.029
1988-04-01,43.761
1988-07-01,35.531
1988-10-01,36.803
1989-01-01,43.440
1989-04-01,49.291
1989-07-01,31.578
1989-10-01,23.838
1990-01-01,40.613
1990-04-01,19.370
1990-07-01,45.675
1990-10-01,49.130
1991-01-01,-6.450
1991-04-01,-0.838
1991-07-01,-8.433
1991-10-01,-9.012
1992-01-01,25.506
1992-04-01,45.030
1992-07-01,56.184
1992-10-01,50.266
1993-01-01,53.487
1993-04-01,57.330
1993-07-01,41.398
1993-10-01,56.513
1994-01-01,62.517
1994-04-01,81.279
1994-07-01,114.500
1994-10-01,115.510
1995-01-01,125.072
1995-04-01,110.783
1995-07-01,72.092
1995-10-01,48.642
1996-01-01,49.836
1996-04-01,44.408
1996-07-01,67.914
1996-10-01,83.419
1997-01-01,90.478
1997-04-01,86.900
1997-07-01,97.131
1997-10-01,92.724
1998-01-01,71.023
1998-04-01,69.975
1998-07-01,39.009
1998-10-01,59.656
1999-01-01,75.088
1999-04-01,112.500
1999-07-01,171.815
1999-10-01,187.679
2000-01-01,236.163
2000-04-01,233.734
2000-07-01,237.157
2000-10-01,191.841
2001-01-01,89.977
2001-04-01,-33.832
2001-07-01,-149.333
2001-10-01,-201.312
2002-01-01,-143.423
2002-04-01,10.385
2002-07-01,93.571
2002-10-01,176.127
2003-01-01,173.422
2003-04-01,94.923
2003-07-01,93.197
2003-10-01,116.041
2004-01-01,170.181
2004-04-01,260.398
2004-07-01,276.552
2004-10-01,306.404
2005-01-01,255.419
2005-04-01,214.329
2005-07-01,220.419
2005-10-01,233.749
2006-01-01,249.721
2006-04-01,251.746
2006-07-01,245.427
2006-10-01,113.669
2007-01-01,112.480
2007-04-01,114.760
2007-07-01,115.962
2007-10-01,211.215
2008-01-01,267.304
2008-04-01,313.117
2008-07-01,294.905
2008-10-01,-151.634
2009-01-01,-651.807
2009-04-01,-802.225
2009-07-01,-690.847
2009-10-01,-152.016
2010-01-01,336.308
2010-04-01,482.794
2010-07-01,412.473
2010-10-01,318.939
2011-01-01,339.815
2011-04-01,334.969
2011-07-01,292.708
2011-10-01,256.209
2012-01-01,183.369
2012-04-01,83.603
2012-07-01,26.914
2012-10-01,1.462
2013-01-01,-36.976
2013-04-01,-21.044
2013-07-01,16.366
2013-10-01,29.886
2014-01-01,98.413
2014-04-01,140.789
2014-07-01,121.366
2014-10-01,123.710
2015-01-01,-29.334
2015-04-01,-93.051
2015-07-01,-87.151
2015-10-01,-160.846
2016-01-01,-130.747
2016-04-01,-96.889
2016-07-01,-50.903
2016-10-01,52.578
2017-01-01,179.076
2017-04-01,192.836
2017-07-01,152.453
2017-10-01,222.174
2018-01-01,221.794
2018-04-01,203.973
2018-07-01,251.227
2018-10-01,147.694
2019-01-01,48.106
2019-04-01,57.829
2019-07-01,-36.013
2019-10-01,-125.647
2020-01-01,-207.202
2020-04-01,-821.547
2020-07-01,-319.192
2020-10-01,-16.538
2021-01-01,242.356
2021-04-01,993.762
2021-07-01,643.506
2021-10-01,621.361
2022-01-01,750.169
2022-04-01,736.924
2022-07-01,518.937
